Country,Year,GDP ($),GDP/Capita ($),No.Suicides,Population,Suicides_rate/100k pop
Chile,2006,154788024806,10270,1795,15071596,11.90982030038491
Chile,2007,173605968179,11387,1848,15245435,12.121661336655858
Chile,2008,179638496279,11653,2088,15415661,13.544667335380558
Chile,2009,172389498445,11062,2148,15584149,13.78323577373394
Chile,2010,218537551220,13874,2001,15751851,12.703268968199358
Chile,2011,252251992029,15854,2027,15910783,12.739787853306778
Chile,2012,267122320057,16617,1841,16075247,11.45239012501643
Chile,2013,278384332694,17140,1738,16242244,10.700491877846435
Chile,2014,260584090571,15883,1789,16406867,10.903970879997992
Chile,2015,243999477738,14729,1838,16565725,11.095198067093351
Colombia,1985,34894411352,1393,1001,25052400,3.995625169644425
Colombia,1986,34942489684,1366,958,25585600,3.7442936651866674
Colombia,1987,36373307085,1299,951,28009432,3.395284845476338
Colombia,1988,39212550050,1369,912,28649501,3.1833015171887284
Colombia,1989,39540080200,1350,831,29289829,2.837162347380041
Colombia,1990,40274204595,1346,865,29930973,2.8899828949763844
Colombia,1991,41239551378,1348,1010,30584178,3.3023611097215038
Colombia,1992,49279585355,1664,1086,29615400,3.667011082072165
Colombia,1993,55802538219,1845,1085,30242200,3.587701952900252
Colombia,1994,81703500846,2646,1198,30874600,3.8802122132756374
Colombia,1995,92507279383,2796,1150,33090899,3.4752757850428906
Colombia,1996,97160109278,2883,1209,33703636,3.5871500629783686
Colombia,1997,106659508271,3106,1242,34338825,3.616897200180845
Colombia,1998,98443739941,2814,2052,34987039,5.865029046899339
Colombia,1999,86186158685,2419,2143,35629408,6.014694378306818
Colombia,2000,99886577331,2755,2358,36252342,6.504407356633676
Colombia,2001,98203546156,2662,2412,36884428,6.539345004889325
Colombia,2002,97933391976,2613,2379,37478276,6.347677251749787
Colombia,2003,94684584163,2489,2269,38044513,5.964066355639774
Colombia,2004,117074863822,3033,2244,38604716,5.81276132169966
Colombia,2005,146566264837,3742,2102,39172790,5.3659695926687885
Colombia,2006,162590146096,4095,2177,39708676,5.482429079226917
Colombia,2007,207416494642,5150,2181,40275206,5.41524232054828
Colombia,2008,243982437871,5971,2220,40859129,5.433302310482438
Colombia,2009,233821670544,5643,2249,41436173,5.427624795369012
Colombia,2010,287018184638,6836,2107,41989103,5.017968590565033
Colombia,2011,335415156702,7885,2044,42538305,4.805080973489658
Colombia,2012,369659700376,8586,2119,43055864,4.9215131300117445
Colombia,2013,380191881860,8731,2068,43546298,4.748968557556832
Colombia,2014,378195716714,8591,2126,44021800,4.829425421041393
Colombia,2015,291519591533,6552,2332,44490427,5.241577025098006
Costa Rica,1985,4796628461,2145,128,2236200,5.723996064752705
Costa Rica,1986,5477895475,2389,131,2292900,5.713288848183523
Costa Rica,1987,5841132962,2433,119,2400700,4.95688757445745
Costa Rica,1988,6063759371,2460,138,2465200,5.597923089404511
Costa Rica,1989,6866402028,2686,167,2556000,6.533646322378717
Costa Rica,1990,7403457319,2817,157,2627800,5.974579496156481
Costa Rica,1991,7168999428,2651,125,2704000,4.622781065088757
Costa Rica,1992,8528593084,3070,149,2778400,5.362798733083789
Costa Rica,1993,9537297507,3342,164,2853700,5.746925044678838
Costa Rica,1994,10432619390,3562,162,2929100,5.530709091529822
Costa Rica,1995,11513472694,3672,209,3135200,6.666241388109211
Costa Rica,1996,11618286553,3639,209,3192446,6.546704313870932
Costa Rica,1997,12552071367,3827,187,3279559,5.701986151186791
Costa Rica,1998,13617405420,4046,223,3365726,6.625613612040909
Costa Rica,1999,14195623425,4115,233,3449923,6.7537739248093365
Costa Rica,2000,14949514585,4233,239,3531421,6.76781386303134
Costa Rica,2001,15913363335,4412,198,3606850,5.489554597501975
Costa Rica,2002,16504795453,4485,275,3680372,7.472070758064674
Costa Rica,2003,17195867540,4583,315,3751871,8.395811050006783
Costa Rica,2004,18529767934,4850,325,3820857,8.505945132204634
Costa Rica,2005,19952156475,5133,272,3887096,6.997511767139274
Costa Rica,2006,22600431878,5716,350,3953916,8.851983704256742
Costa Rica,2007,26743874206,6661,270,4015241,6.724378437060191
Costa Rica,2008,30612932876,7517,261,4072561,6.408743785544281
Costa Rica,2009,30562361123,7403,278,4128459,6.733747386131242
Costa Rica,2010,37268635287,8906,311,4184663,7.431900728923691
Costa Rica,2011,42262697840,9978,316,4235514,7.460723775201782
Costa Rica,2012,46473128286,10832,302,4290210,7.039282459366791
Costa Rica,2013,49745088112,11443,311,4347229,7.153982456410739
Costa Rica,2014,50577769838,11485,268,4403674,6.085827425009208
Croatia,1995,22387561845,4978,929,4497400,20.65637924133944
Croatia,1996,23678012697,5610,1001,4220800,23.715883244882487
Croatia,1997,23822087053,5546,946,4295100,22.025098367907617
Croatia,1998,25432144406,6015,1029,4227900,24.338323990633647
Croatia,1999,23386945597,5459,989,4283800,23.086978850553248
Croatia,2000,21774273832,5288,926,4118000,22.48664400194269
Croatia,2001,23289671102,5571,881,4180633,21.07336377051035
Croatia,2002,26878499206,6373,874,4217300,20.72416000758779
Croatia,2003,34658113497,8202,865,4225600,20.470465732677017
Croatia,2004,41574530816,9829,871,4229600,20.592963873652355
Croatia,2005,45416358502,10722,874,4235875,20.63328119927996
Croatia,2006,50453577898,11914,796,4234946,18.795989370348522
Croatia,2007,60093222709,14204,775,4230855,18.317810466206005
Croatia,2008,70481451449,16680,793,4225583,18.76664119483631
Croatia,2009,62703143057,14872,790,4216050,18.73791819356981
Croatia,2010,59829574391,14232,776,4203963,18.458773305093313
Croatia,2011,62375044443,14890,702,4189029,16.75806016143598
Croatia,2012,56565475275,13952,776,4054296,19.140191046731665
Croatia,2013,58085856019,14362,692,4044457,17.109836994187354
Croatia,2014,57629518806,14299,722,4030452,17.913623583657614
Croatia,2015,49425513611,12351,739,4001669,18.467294521360962
Croatia,2016,51338524831,12905,683,3567043,19.147512379301286
Cuba,1992,22085858243,2227,2299,9915600,23.185687199967727
Cuba,1993,22367254865,2236,2374,10004200,23.73003338597789
Cuba,1994,28448326757,2820,2278,10089300,22.57837511026533
Cuba,1995,30429803651,2993,2222,10168400,21.852012115967113
Cuba,1996,25017300000,2443,2014,10241600,19.664896109982816
Cuba,1997,25366200000,2472,2029,10260492,19.774880190930414
Cuba,1998,25736331247,2497,2056,10307978,19.94571583292087
Cuba,1999,28364615242,2741,2050,10350039,19.80668865112489
Cuba,2000,30565400000,2940,1845,10397209,17.74514679853026
Cuba,2001,31682400000,3037,1652,10433428,15.833722147696808
Cuba,2002,33590500000,3205,1606,10479415,15.325282947569116
Cuba,2003,35901200000,3409,1499,10531074,14.234065775247615
Cuba,2004,38203000000,3611,1515,10578701,14.321229043150003
Cuba,2005,42643836075,4017,1397,10616406,13.158878814544206
Cuba,2006,52742800000,4951,1376,10653638,12.915775812919492
Cuba,2007,58603900000,5488,1307,10678023,12.24009350794618
Cuba,2008,60806300000,5686,1377,10693814,12.876603239966581
Cuba,2009,62080000000,5797,1477,10708230,13.793129209962803
Cuba,2010,64328000000,5997,1558,10725848,14.525658017902174
Cuba,2011,68990000000,6419,1529,10748034,14.225857491704994
Cuba,2012,73141000000,6791,1495,10770535,13.880461834068596
Cuba,2013,77148000000,7148,1499,10792690,13.889030445607165
Cuba,2014,80656100000,7459,1453,10813411,13.437018161984223
Cuba,2015,87132800000,8044,1511,10832068,13.949321588453838
Cyprus,1999,10614455232,12389,1,856733,0.1167224794655978
Cyprus,2000,10183317625,11635,7,875229,0.7997906833525855
Cyprus,2004,17422375000,25227,7,690616,1.0135878693803793
Cyprus,2005,18703146375,26671,17,701263,2.424197483683012
Cyprus,2006,20403713461,28600,19,713426,2.663205434060435
Cyprus,2007,24077470572,33048,19,728566,2.6078625683877643
Cyprus,2008,27839460964,37267,41,747034,5.488371345882516
Cyprus,2009,25942622951,33816,32,767174,4.171152828432663
Cyprus,2010,25562251656,32477,38,787081,4.827965609638652
Cyprus,2011,27427161523,34249,30,800820,3.7461601858095452
Cyprus,2012,25041372222,30752,36,814305,4.420947924917568
Cyprus,2013,24084572491,29624,45,813016,5.534946421718638
Cyprus,2014,23359294149,29024,44,804818,5.467074543561401
Cyprus,2015,19676167240,24718,40,796037,5.024892059037456
Cyprus,2016,20153871681,25098,36,711344,5.060842574056996
Czech Republic,1990,40477403220,4168,1997,9710900,20.564520281333348
Czech Republic,1991,29675502270,3070,1904,9667500,19.69485389190587
Czech Republic,1992,34590052812,3573,1991,9681900,20.5641454673153
Czech Republic,1993,40614350197,4186,1917,9703400,19.755961827812932
Czech Republic,1994,47554674591,4891,1872,9723700,19.251930849368037
Czech Republic,1995,59775697061,6134,1733,9744300,17.78475621645475
Czech Republic,1996,66985765439,6861,1568,9763900,16.05915668943762
Czech Republic,1997,61792161168,6314,1666,9786700,17.023102782347472
Czech Republic,1998,66490372105,6779,1613,9808300,16.445255548871874
Czech Republic,1999,64867483193,6606,1610,9819215,16.39642272829345
Czech Republic,2000,61649492817,6278,1649,9819742,16.792701885650356
Czech Republic,2001,67523642262,6863,1623,9838083,16.497116358949196
Czech Republic,2002,81910771994,8399,1534,9752463,15.729359855043798
Czech Republic,2003,99627140274,10220,1719,9748550,17.63339163260177
Czech Republic,2004,119162172468,12226,1583,9746647,16.241482840201353
Czech Republic,2005,136280689891,13961,1565,9761733,16.031989401881816
Czech Republic,2006,155463807113,15896,1400,9780319,14.314461522165075
Czech Republic,2007,189227050760,19273,1379,9818295,14.045208460328396
Czech Republic,2008,235718586901,23811,1379,9899594,13.9298641944306
Czech Republic,2009,206179982164,20748,1464,9937407,14.732213342977701
Czech Republic,2010,207477857919,20862,1502,9945273,15.102652285161
Czech Republic,2011,227948349666,23010,1590,9906318,16.050363010757376
Czech Republic,2012,207376427021,20898,1658,9923127,16.708442812432008
Czech Republic,2013,209402444996,21073,1577,9936780,15.87033224042396
Czech Republic,2014,207818330724,20859,1489,9963127,14.94510709338544
Czech Republic,2015,186829940546,18703,1387,9989325,13.884822047535744
Czech Republic,2016,195305084919,19505,1318,8929942,14.759334383134853
Denmark,1994,156162311732,32034,999,4874900,20.49272805596012
Denmark,1995,185006961302,37841,924,4889100,18.899183898877094
Denmark,1996,187632400366,38158,892,4917300,18.140036198726943
Denmark,1997,173537588008,35148,817,4937300,16.547505721750756
Denmark,1998,176992000955,35710,763,4956400,15.394237753207975
Denmark,1999,177965224621,35763,762,4976200,15.312889353321811
Denmark,2000,164158800460,32841,728,4998610,14.564048805567946
Denmark,2001,164791416350,32837,727,5018451,14.486541763584023
Denmark,2002,178635160297,35435,688,5041222,13.647484677326252
Denmark,2003,218095997085,43129,633,5056783,12.517839899398492
Denmark,2004,251373036671,49552,661,5072927,13.029952924613344
Denmark,2005,264467308109,51960,631,5089852,12.397217050711886
Denmark,2006,282884912894,55354,650,5110460,12.719011595825034
Denmark,2007,319423370134,62229,581,5133001,11.318914607653497
Denmark,2008,353361056080,68447,603,5162525,11.680330845855467
Denmark,2009,321241396034,61863,622,5192790,11.978146622528543
Denmark,2010,321995350347,61711,563,5217785,10.79001913647266
Denmark,2011,344003209696,65598,589,5244150,11.231562789012518
Denmark,2012,327148899962,62071,661,5270539,12.541411798679416
Denmark,2013,343584385594,64831,610,5299698,11.510089820212396
Denmark,2014,352993633221,66114,629,5339166,11.780866150256426
Denmark,2015,301298464861,55972,564,5383060,10.477312160741288
Dominica,1985,98585185,1485,0,66400,0.0
Ecuador,1985,17149094590,2238,393,7661800,5.129342974235819
Ecuador,1986,15314143988,1943,377,7881300,4.783474807455623
Ecuador,1987,13945431882,1669,390,8356800,4.666858127512923
Ecuador,1988,13051886552,1519,466,8593200,5.422892519666713
Ecuador,1989,13890828708,1619,431,8578619,5.024118683904717
Ecuador,1990,15239278100,1732,448,8800933,5.090369396062895
Ecuador,1991,16988535268,1869,494,9091700,5.4335272831263675
Ecuador,1992,18094238119,1955,505,9253155,5.4575979760416855
Ecuador,1993,18938717359,1996,574,9488483,6.049439093688633
Ecuador,1994,22708673337,2335,512,9725255,5.2646434463672165
Ecuador,1995,24432884442,2453,546,9960563,5.481617856340048
Ecuador,1996,25226393197,2474,593,10195848,5.816092982162935
Ecuador,1997,28162053027,2701,579,10427773,5.552479901509172
Ecuador,1998,27981896948,2626,546,10656446,5.1236594264166495
Ecuador,1999,19645272636,1805,616,10883283,5.660056804550612
Ecuador,2000,18327764882,1650,534,11109383,4.80674759345321
Ecuador,2001,24468324000,2160,584,11328328,5.155217963321683
Ecuador,2002,28548945000,2472,577,11548770,4.996203058853887
Ecuador,2003,32432858000,2755,675,11771002,5.734431104505801
Ecuador,2004,36591661000,3051,791,11994153,6.594880021957366
Ecuador,2005,41507085000,3397,943,12217643,7.718346329156941
Ecuador,2006,46802044000,3759,900,12449374,7.229279158936024
Ecuador,2007,51007777000,4024,1005,12677354,7.927521784119936
Ecuador,2008,61762635000,4787,928,12903183,7.1920238595391535
Ecuador,2009,62519686000,4762,964,13130161,7.341874939690382
Ecuador,2010,69555367000,5206,912,13360285,6.826201686565818
Ecuador,2011,79276664000,5836,918,13583553,6.758172916909147
Ecuador,2012,87924544000,6364,976,13815861,7.064344379260909
Ecuador,2013,95129659000,6769,676,14054613,4.809808708357889
Ecuador,2014,101726331000,7116,734,14295145,5.134610386953053
Ecuador,2015,99290381000,6832,1073,14534024,7.382676676466201
El Salvador,1990,4817542204,1068,571,4510552,12.659204461006103
El Salvador,1991,5252342400,1148,474,4576985,10.35616240822288
El Salvador,1992,5813399300,1266,419,4591600,9.125359351859919
El Salvador,1993,6680269200,1423,424,4694300,9.032230577508892
El Salvador,1995,8921947100,1845,620,4836397,12.819460437180817
El Salvador,1996,9586327800,1959,540,4892391,11.037547898358902
El Salvador,1997,10221705900,2065,577,4949302,11.658209581876394
El Salvador,1998,10936669900,2185,512,5006338,10.227036208901596
El Salvador,1999,11284197000,2229,515,5062759,10.172319085305068
El Salvador,2000,11784927700,2303,461,5118189,9.007092157011005
El Salvador,2001,12282533600,2373,514,5175094,9.932186739023484
El Salvador,2002,12664190300,2421,436,5230458,8.33579009715784
El Salvador,2003,13243892200,2507,527,5283542,9.974369466543466
El Salvador,2004,13724810900,2573,464,5333170,8.7002664456599
El Salvador,2005,14698001400,2733,455,5378879,8.459011626772046
El Salvador,2006,15999886400,2947,411,5429044,7.570393608893205
El Salvador,2007,17011750900,3111,501,5467861,9.162632334655179
El Salvador,2008,17986886200,3271,490,5499287,8.910246000981582
El Salvador,2009,17601616000,3184,506,5528910,9.151894315516078
El Salvador,2010,18447922400,3318,399,5560453,7.175674356028186
El Salvador,2011,20283783700,3631,485,5585785,8.682754527787948
El Salvador,2012,21386153000,3806,512,5618823,9.112228664259401
El Salvador,2013,21977401900,3885,484,5657250,8.555393521587344
El Salvador,2014,22585841200,3965,386,5696329,6.7762939956593105
Estonia,1995,4373665146,3224,594,1356651,43.78428940088497
Estonia,1996,4746109767,3536,545,1342202,40.60491639857488
Estonia,1997,5066240419,3806,522,1331234,39.21173888287108
Estonia,1998,5617109245,4250,477,1321719,36.08936544000654
Estonia,1999,5726897998,4361,468,1313198,35.63819012822133
Estonia,2000,5685774809,4262,377,1334175,28.257162666067046
Estonia,2001,6245069734,4711,401,1325610,30.250224424981706
Estonia,2002,7322069511,5561,371,1316690,28.176715855668384
Estonia,2003,9833870709,7523,342,1307160,26.163591297163315
Estonia,2004,12059201242,9293,323,1297650,24.8911493854275
Estonia,2005,14006088297,10870,273,1288495,21.18750945870958
Estonia,2006,16963625016,13264,247,1278915,19.313245993674325
Estonia,2007,22237061730,17504,251,1270415,19.7573233943239
Estonia,2008,24194039256,19141,242,1264005,19.145493886495704
Estonia,2009,19652492637,15609,269,1259010,21.36599391585452
Estonia,2010,19490936349,15540,223,1254225,17.7799039247344
Estonia,2011,23170239901,18545,218,1249427,17.447998162357624
Estonia,2012,23043864510,18411,237,1251631,18.935293229394286
Estonia,2013,25137153149,20221,218,1243096,17.536859582847985
Estonia,2014,26224622451,21117,241,1241852,19.40649932520139
Estonia,2015,22566956982,18149,195,1243450,15.682174594877155
Fiji,2001,1660102346,2307,36,719459,5.003759769493467
Fiji,2002,1842691481,2548,42,723187,5.807626519835119
Fiji,2003,2315935753,3192,10,725591,1.378186884897966
Fiji,2004,2727507213,3744,24,728408,3.2948567286465824
Fiji,2005,3006725015,4104,22,732607,3.0029743095547814
Fiji,2006,3102741451,4206,24,737759,3.253094845335672
Fiji,2007,3405050612,4570,13,745055,1.744837629436753
Fiji,2008,3523185920,4675,37,753658,4.909388608626194
Fiji,2009,2870624636,3765,26,762403,3.410269896629473
Fiji,2011,3774530616,4862,38,776325,4.894857179660581
Fiji,2012,3972012571,5073,32,782939,4.087163878667432
Finland,1987,91642093873,19861,1363,4614100,29.53988860232765
Finland,1988,109103056148,23546,1402,4633600,30.257251381215468
Finland,1989,119064708328,25582,1413,4654300,30.359022839095033
Finland,1990,141517648888,30271,1512,4675100,32.34155419135419
Finland,1991,127866490222,27214,1493,4698500,31.776098754921787
Finland,1992,112625431378,23857,1451,4720900,30.73566480967612
Finland,1993,89255751015,18826,1397,4741000,29.466357308584687
Finland,1994,103321570859,21699,1387,4761600,29.128864247311828
Finland,1995,134199346405,28068,1388,4781300,29.029761780268966
Finland,1996,132099404608,27508,1247,4802200,25.967265003540042
Finland,1997,126833123354,26296,1322,4823200,27.409188920218945
Finland,1998,133936359591,27646,1228,4844673,25.347427989463895
Finland,1999,135225868315,27800,1207,4864255,24.813666224324177
Finland,2000,125539893127,25716,1165,4881820,23.864050702401972
Finland,2001,129250111857,26383,1204,4898983,24.576529455195086
Finland,2002,139552983249,28390,1095,4915614,22.27595576056216
Finland,2003,171071106095,34701,1075,4929856,21.805910760882263
Finland,2004,196768065557,39793,1064,4944765,21.517706099278733
Finland,2005,204436015421,41202,994,4961784,20.033117120777526
Finland,2006,216552502823,43487,1062,4979740,21.326414632089225
Finland,2007,255384615385,51089,995,4998853,19.90456610746505
Finland,2008,283742493042,56521,1033,5020096,20.577295732989967
Finland,2009,251499027508,49878,1034,5042316,20.506449813934708
Finland,2010,247799815768,48939,954,5063494,18.840745145545743
Finland,2011,273674236773,53809,912,5085985,17.93162976296627
Finland,2012,256706466091,50232,873,5110450,17.082644385523782
Finland,2013,269980111643,52572,887,5135433,17.27215601878167
Finland,2014,272609288690,52832,789,5159944,15.29086362177574
Finland,2015,232464833066,44862,731,5181797,14.107075209623225
France,1985,553138414367,10765,12501,51382600,24.32924764414413
France,1986,771470783218,14940,12529,51637600,24.263327497792307
France,1987,934173305686,17999,12161,51900800,23.43123805413404
France,1988,1018847043277,19534,11599,52157600,22.23836986364403
France,1989,1025211803414,19558,11715,52417900,22.349235661863602
France,1990,1269179616914,23968,11403,52952900,21.53423136409904
France,1991,1269276828276,23821,11502,53282900,21.586662888093553
France,1992,1401465923172,26136,11644,53622300,21.71484624866893
France,1993,1322815612694,24521,12251,53945400,22.7099993697331
France,1994,1393982750473,25697,12041,54247100,22.19657825026591
France,1995,1601094756210,29363,11819,54528500,21.67490394931091
France,1996,1605675086550,29305,11279,54791600,20.585272195007995
France,1997,1452884917959,26394,11139,55045500,20.2359865929095
France,1998,1503108739159,27190,10534,55280700,19.05547505729848
France,1999,1492647560196,27118,10268,55043393,18.654373286908385
France,2000,1362248940483,24648,10849,55267624,19.62993741145811
France,2001,1376465324385,24796,10449,55511272,18.82320405124206
France,2002,1494286655374,26714,10643,55935517,19.02726670069037
France,2003,1840480812641,32656,10871,56360402,19.288364905559046
France,2004,2115742488205,37240,10804,56813922,19.01646571768096
France,2005,2196126103718,38420,10713,57160687,18.74190210485049
France,2006,2318593651988,40097,10423,57824447,18.025248040850265
France,2007,2657213249384,45682,10127,58167011,17.410212121781537
France,2008,2918382891460,49901,10353,58482967,17.702590225971264
France,2009,2690222283968,45775,10499,58770727,17.864335760216136
France,2010,2642609548930,44747,10379,59056283,17.574759996324186
France,2011,2861408170265,48217,10408,59344643,17.53823003029945
France,2012,2683825225093,45002,9743,59638457,16.336774105339448
France,2013,2811077725704,46922,9600,59910069,16.024017598777927
France,2014,2852165760630,47318,8881,60275954,14.733902013396586
Georgia,1990,7753501868,1555,196,4986400,3.930691480827852
Georgia,1991,6357615894,1267,174,5018550,3.4671369220193085
Georgia,1992,3690328964,740,204,4988700,4.089241686210836
Georgia,1994,2513870587,556,123,4518900,2.721901347673106
Georgia,1995,2693731866,611,138,4410850,3.128648673158235
Georgia,1996,3094915506,718,162,4310350,3.758395489925412
Georgia,1997,3510540809,828,176,4240600,4.150356081686554
Georgia,1998,3613500117,858,148,4209250,3.516065807447882
Georgia,1999,2800024314,669,189,4187750,4.513163393230255
Georgia,2000,3057453483,734,130,4165600,3.1207989245246783
Georgia,2001,3219487747,777,100,4140950,2.4149047923785605
Georgia,2004,5125363001,1253,175,4089850,4.27888553369928
Georgia,2005,6410852596,1552,87,4132000,2.1055179090029044
Georgia,2006,7745406201,1859,72,4166500,1.7280691227649108
Georgia,2007,10172869680,2448,104,4154900,2.503068665912537
Georgia,2009,10766809099,2589,188,4158750,4.52058911932672
Georgia,2010,11638536834,2775,112,4193800,2.670608994229577
Georgia,2011,14434619982,3435,99,4202600,2.3556845762147245
Georgia,2012,15846474596,3772,104,4200900,2.4756599776238426
Georgia,2013,16140047012,3850,157,4192600,3.7446930305776847
Georgia,2014,16509305828,4757,194,3470600,5.589811559960814
Georgia,2015,13993546732,4046,192,3458400,5.551700208188758
Germany,1990,1764967948917,23546,13924,74958800,18.575537495264065
Germany,1991,1861873895109,24662,14010,75495900,18.557299138098887
Germany,1992,2123130870382,27888,13458,76131700,17.677261902729086
Germany,1993,2068555542411,26937,12690,76793400,16.524857604950427
Germany,1994,2205966011812,28588,12718,77163400,16.48190722544626
Germany,1995,2591620035485,33420,12888,77547500,16.619491279538348
Germany,1996,2503665193657,32147,12225,77882500,15.696722627034314
Germany,1997,2218689375141,28420,12256,78067900,15.699154197820102
Germany,1998,2243225519618,28733,11654,78071100,14.927418724726564
Germany,1999,2199957383337,28154,11160,78141200,14.281838517964914
Germany,2000,1949953934034,24922,11073,78242066,14.152233659065187
Germany,2001,1950648769575,24874,11167,78421514,14.239714882321707
Germany,2002,2079136081310,26441,11176,78633771,14.212722927913504
Germany,2003,2505733634312,31816,11155,78756461,14.163917294353793
Germany,2004,2819245095605,35772,10741,78811814,13.628667397504643
Germany,2005,2861410272354,36289,10270,78851254,13.024523363953096
Germany,2006,3002446368084,38088,9775,78828994,12.400259731844352
Germany,2007,3439953462907,43667,9409,78776585,11.943904397480544
Germany,2008,3752365607148,47702,9459,78662789,12.024745270600564
Germany,2009,3418005001389,43570,9579,78448602,12.210542642939641
Germany,2010,3417094562649,43614,10030,78349067,12.801684032816881
Germany,2011,3757698281118,47947,10153,78371140,12.955024005010008
Germany,2012,3543983909148,45142,9896,78508115,12.605066367979921
Germany,2013,3752513503278,48563,10091,77270988,13.059235116807358
Germany,2014,3890606893347,50167,10217,77552369,13.174323533559626
Germany,2015,3375611100742,43201,10088,78136683,12.910709301545344
Greece,1985,47820850975,5156,405,9275400,4.366388511546671
Greece,1986,56379593720,6040,393,9334000,4.210413541889865
Greece,1987,65652751132,6994,410,9387400,4.367556511920234
Greece,1988,76261278405,8070,403,9450000,4.264550264550264
Greece,1989,79169043642,8310,383,9527500,4.019942272369457
Greece,1990,97891090929,10179,349,9617000,3.628990329624623
Greece,1991,105143232380,10816,381,9721144,3.919291803516129
Greece,1992,116224673043,11818,351,9834155,3.569193286052539
Greece,1993,108809058859,10957,412,9930405,4.148874089223954
Greece,1994,116601802107,11638,355,10018932,3.543291839888723
Greece,1995,136878366230,13550,370,10101632,3.662774490300181
Greece,1996,145861612826,14330,356,10178479,3.497575620090192
Greece,1997,143157600025,13968,374,10248806,3.649205575751946
Greece,1998,144428172835,14008,403,10310630,3.908587545086964
Greece,1999,142540728958,13756,381,10362363,3.6767675480968967
Greece,2000,130133845771,12509,382,10403059,3.6719968616923158
Greece,2001,136191353468,13043,334,10441529,3.198765238309447
Greece,2002,153830947017,14676,323,10482045,3.081459772401282
Greece,2003,201924270316,19202,375,10515665,3.5661082775078894
Greece,2004,240521260988,22804,353,10547290,3.346831271350271
Greece,2005,247783001865,23414,400,10582816,3.7797123185360118
Greece,2006,273317737047,25739,394,10618891,3.710368625122906
Greece,2007,318497936901,29896,328,10653591,3.078774095983223
Greece,2008,354460802549,33168,373,10686723,3.490312231354738
Greece,2009,330000252153,30785,391,10719618,3.6475180365568995
Greece,2010,299361576558,27886,377,10735384,3.511751419418253
Greece,2011,287797822093,26825,477,10728724,4.446008677266747
Greece,2012,245670666639,23309,508,10539802,4.819824888551038
Greece,2013,239862011450,22994,533,10431289,5.109627391207357
Greece,2014,237029579261,22834,565,10380547,5.44287309714989
Greece,2015,195541761243,18927,529,10331286,5.120369332530336
Grenada,1985,167728444,1965,1,85375,1.171303074670571
Grenada,1988,236357519,2707,4,87300,4.581901489117984
Grenada,1989,267327630,3268,4,81805,4.8896766701301875
Grenada,1990,278098778,3391,2,82000,2.4390243902439024
Grenada,1991,300757889,3650,0,82400,0.0
Grenada,1992,310160444,3713,0,83528,0.0
Grenada,1993,309812185,3632,3,85304,3.5168339116571325
Grenada,1994,325111815,3735,4,87036,4.595799439312469
Grenada,1995,342172519,3869,1,88433,1.1307995883889497
Grenada,1996,366911444,4087,1,89772,1.11393307490086
Grenada,2001,520444185,5693,0,91415,0.0
Grenada,2002,540336926,5879,0,91908,0.0
Grenada,2003,591018407,6385,4,92567,4.321194378126114
Grenada,2004,599118593,6428,1,93202,1.0729383489624686
Grenada,2005,695370296,7422,6,93685,6.404440412019
Grenada,2006,698700667,7423,1,94126,1.0624057114931051
Grenada,2007,758683593,8035,3,94418,3.1773602491050434
Grenada,2008,825977889,8733,0,94585,0.0
Grenada,2009,771278111,8140,0,94746,0.0
Grenada,2010,771015889,8118,0,94980,0.0
Grenada,2011,778648667,8188,1,95102,1.051502597211415
Grenada,2012,799882148,8382,2,95426,2.0958648586339153
Grenada,2013,842620111,8789,0,95876,0.0
Grenada,2014,911481481,9456,0,96393,0.0
Grenada,2015,997007926,10290,0,96892,0.0
Grenada,2016,1056188593,10838,0,79012,0.0
Guatemala,1986,7231963516,1044,203,6924188,2.931751708648003
Guatemala,1987,7084399840,997,241,7108740,3.3901929174509124
Guatemala,1988,7841602824,1074,174,7300076,2.383536828931644
Guatemala,1989,8410724361,1122,152,7493108,2.0285307511916284
Guatemala,1990,7650125217,996,158,7683992,2.056222859159666
Guatemala,1991,9406097735,1194,156,7880665,1.979528377364093
Guatemala,1992,10440842165,1294,173,8069672,2.14382938984385
Guatemala,1993,11399942453,1381,165,8254958,1.9987987825013767
Guatemala,1994,12983235568,1538,142,8443914,1.6816845837131926
Guatemala,1995,14655404433,1696,211,8641512,2.4417023317215785
Guatemala,1996,15674835615,1775,157,8832326,1.7775611996205756
Guatemala,1997,17790026222,1967,179,9044205,1.9791678760045797
Guatemala,1998,19395491993,2091,201,9273529,2.167459658561482
Guatemala,1999,18318412251,1926,234,9512666,2.459878229720249
Guatemala,2000,19288827159,1977,182,9755585,1.865598013855653
Guatemala,2001,18702802395,1867,202,10015097,2.0169550030319225
Guatemala,2002,20776669467,2022,258,10277166,2.510419701306761
Guatemala,2003,21917706491,2079,253,10542980,2.399701033294192
Guatemala,2004,23965275996,2215,250,10817808,2.3110042256250063
Guatemala,2005,27211377225,2450,238,11104906,2.1431968897350413
Guatemala,2006,30231249362,2653,298,11397134,2.6146924305707033
Guatemala,2007,34113107086,2914,327,11708397,2.792867375440037
Guatemala,2008,39136893345,3252,492,12032885,4.088794998040786
Guatemala,2009,37733994976,3053,511,12359945,4.1343226041863455
Guatemala,2010,41338595381,3260,352,12682151,2.77555439924978
Guatemala,2011,47654841113,3661,359,13017342,2.7578594769961486
